name,price,chipset,memory,core_clock,boost_clock,color,length
Asus TUF GAMING OC,1564.99,GeForce RTX 5080,16,2300,,Black / Silver,348
XFX Swift OC,534.45,Radeon RX 9060 XT,16,2220,3320,White,290
ASRock Challenger,599.99,Radeon RX 9070,16,2070,2520,Black / Silver,290
Sapphire NITRO+,799.99,Radeon RX 9070 XT,16,2520,3060,Black,331
Gigabyte AORUS MASTER,2939.32,GeForce RTX 5090,32,2010,2655,White,360
PowerColor Reaper,501.39,Radeon RX 9060 XT,16,2220,3230,Black,200
NVIDIA Founders Edition,,GeForce RTX 5090,32,2017,2407,Black / Silver,304
Gigabyte WINDFORCE SFF,970,GeForce RTX 5070 Ti,16,2452,,Black,304
XFX Speedster SWFT 210,345,Radeon RX 6600,8,1626,2491,Black,241
PowerColor RX7800XT 16G-P,599.99,Radeon RX 7800 XT,16,1295,2430,Black,260
Asus TUF GAMING OC,999,GeForce RTX 5070 Ti,16,2300,2610,Black / Silver,329
XFX Swift,779.99,Radeon RX 9070 XT,16,1660,2970,Black,325
ASRock Phantom Gaming OC,899.99,Radeon RX 7900 XTX,24,2300,2615,Black,330
XFX GTS XXX,159.99,Radeon RX 580,8,1366,1386,Black / Red,270
PNY VCNRTX6000ADA-PB,6974,RTX 6000 Ada Generation,48,915,2505,Black / Gold,267
Gigabyte WINDFORCE OC,845.93,GeForce RTX 4070 SUPER,12,1980,2505,Black,261
Zotac GAMING Twin Edge,256.98,GeForce RTX 3060 12GB,12,1320,1777,Black,224
Asus ROG Astral OC,1799.99,GeForce RTX 5080,16,2300,,Black / Silver,358
NVIDIA Founders Edition,549.99,GeForce RTX 5070,12,2160,2510,Black / Gray,242
Asus DUAL OC,479.99,GeForce RTX 5060 Ti,16,2410,2632,Black / Silver,229
Sapphire PURE,991.27,Radeon RX 9070 XT,16,2460,3010,White,320
Asus PRIME,829.99,GeForce RTX 5070 Ti,16,2300,2482,Black / White,306
Asus PRIME OC,1399.99,GeForce RTX 5080,16,2300,,Black / White,306
NVIDIA Founders Edition,489.09,GeForce RTX 3060 Ti,8,1410,1670,Black / Silver,242
Asus TUF GAMING OC,1117.99,GeForce RTX 4070 Ti SUPER,16,2340,2670,Black,305
Gigabyte WINDFORCE,501.01,GeForce RTX 5060 Ti,16,2410,2572,Black,208
Gigabyte AERO OC,979.99,GeForce RTX 5070 Ti,16,2588,,White / Silver,340
NVIDIA Founders Edition,,GeForce RTX 5080,16,2300,2620,Black / Gray,304
Gigabyte GAMING OC,1525,GeForce RTX 5080,16,2300,,Black,340
XFX Swift OC,359.99,Radeon RX 9060 XT,16,2220,3320,Black,270
Gigabyte WINDFORCE SFF,604.99,GeForce RTX 5070,12,2160,2512,Black,282
XFX Speedster MERC 310 Black Edition,1049.99,Radeon RX 7900 XTX,24,2300,2615,Black / Silver,344
Gigabyte WINDFORCE OC SFF,869.99,GeForce RTX 5070 Ti,16,2497,,Black,304
Asus ROG Astral LC OC,4246.33,GeForce RTX 5090,32,2010,2610,Black / Silver,288
Gigabyte WINDFORCE OC,449.99,GeForce RTX 5060 Ti,16,2410,2587,Black,208
Asus Dual GeForce RTX 3060 V2 OC Edition,329.97,GeForce RTX 3060 12GB,12,1320,1867,Black,200
MSI GAMING TRIO OC,549.99,GeForce RTX 5070,12,2160,,Black,338
MSI GAMING TRIO OC,559.99,GeForce RTX 5060 Ti,16,2410,2662,White,300
Asus DUAL OC V2,369.99,GeForce RTX 4060,8,1830,2535,Black,202
Asus DUAL EVO OC,439.99,GeForce RTX 4060,8,1830,2535,Black,227
Sapphire PULSE,642.99,Radeon RX 9070,16,2070,2520,Black,280
PNY Dual Fan OC,428.33,GeForce RTX 5060 Ti,16,2407,2691,Black,245
ASRock Steel Legend OC,519,Radeon RX 9060 XT,16,2220,3320,White / Gray,298
Gigabyte GAMING OC,249.99,Radeon RX 9060 XT,8,2220,,Black,281
Asus DUAL EVO OC,274.99,Radeon RX 7600,8,1720,2715,Black,229
Gigabyte WINDFORCE OC,820,GeForce RTX 4070,12,1920,2490,Black,261
Gigabyte GAMING OC,,Radeon RX 7800 XT,16,1295,2565,Black,302
Gigabyte GAMING OC,969.99,GeForce RTX 5070 Ti,16,2588,,Black,340
XFX Swift,799.99,Radeon RX 9070 XT,16,1660,2970,White,325
MSI GAMING TRIO OC,3049.99,GeForce RTX 5090,32,2010,,Black / Silver,359
PowerColor Hellhound OC,859.99,Radeon RX 9070 XT,16,2400,3010,Black,327
NVIDIA Founders Edition,2995.99,GeForce RTX 4090,24,2230,2520,Black / Silver,304
PNY VERTO OC,759.99,GeForce RTX 4070 SUPER,12,1980,2490,Black,247
ASRock Challenger OC,399.97,Radeon RX 7700 XT,12,1700,2584,Black,266
Asus PRIME,609.99,GeForce RTX 5070,12,2160,,Black / White,306
Gigabyte GAMING OC,2809.36,GeForce RTX 5090,32,2010,2550,Black,342
MSI GAMING TRIO OC WHITE,954.13,GeForce RTX 5070,12,2160,,White,338
Asus PRIME,299.99,GeForce RTX 5060,8,2280,2527,Black,268
MSI VENTUS 3X OC PLUS,1599.99,GeForce RTX 5080,16,2300,,Silver / Black,303
Asus TUF GAMING OC,604.99,GeForce RTX 5070,12,2160,,Black / Silver,329
Gigabyte AERO OC SFF,1579.99,GeForce RTX 5080,16,2300,,White / Silver,304
XFX Speedster MERC 310,996.87,Radeon RX 7900 XT,20,2000,2535,Black / Silver,344
ASRock Challenger,318.42,Radeon RX 6600,8,1626,2491,White,269
Gigabyte GAMING OC,469.99,GeForce RTX 5060 Ti,16,2410,2647,Black,281
Gigabyte WINDFORCE OC,429.99,GeForce RTX 4060,8,1830,,Black,192
Gigabyte AORUS MASTER,2999.99,GeForce RTX 5090,32,2010,2655,Black,360
