name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Viper Venom 32 GB,87.99,"5,6400","2,16",2.75,Black / White,10,32
G.Skill Flare X5 32 GB,127.99,"5,6000","2,16",4,Black,9.333,28
Crucial Pro 32 GB,81.99,"5,6400","2,16",2.562,Black,11.875,38
Corsair Vengeance RGB 128 GB,551.99,"5,5600","4,32",4.312,Black,14.286,40
Corsair Vengeance RGB Pro SL 32 GB,109.99,"4,3600","2,16",3.437,White / Black,10,18
Corsair Dominator Titanium 96 GB,424.99,"5,6600","2,48",4.427,Black,9.697,32
Corsair Vengeance 64 GB,229.99,"5,6400","2,32",3.594,Black / Gray,10,32
Kingston FURY Beast 16 GB,67.98,"5,6000","2,8",4.249,Black,10,30
TEAMGROUP T-Create Classic 32 GB,74.99,"5,5600","2,16",2.343,Black,16.429,46
Corsair Vengeance 32 GB,86.99,"5,6000","2,16",2.718,Black,12,36
Patriot Viper Elite 5 RGB 32 GB,102.99,"5,6000","2,16",3.218,White,10,30
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"5,6000","2,32",2.89,White,12.667,38
Corsair Vengeance RGB 64 GB,259.99,"5,6000","2,32",4.062,White / Silver,10,30
G.Skill Trident Z5 Royal 32 GB,154.99,"5,6400","2,16",4.843,White,9.375,30
Kingston FURY Beast 32 GB,106.63,"5,5600","2,16",3.332,Black,12.857,36
Corsair Vengeance RGB 32 GB,96.99,"5,5200","2,16",3.031,White,15.385,40
TEAMGROUP T-Force Vulcan Z 32 GB,66.03,"4,3200","2,16",2.063,Gray,10,16
G.Skill Ripjaws V 32 GB,89.99,"4,3600","2,16",2.812,Black,8.889,16
Lexar THOR 16 GB,,"4,3200","2,8",,Black,10,16
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",3.187,Black,10,18
G.Skill Trident Z RGB 16 GB,54.99,"4,3600","2,8",3.437,Black,10,18
Kingston FURY Beast RGB 32 GB,141.19,"5,6000","2,16",4.412,White,10,30
Corsair Vengeance 128 GB,372.99,"5,6400","2,64",2.914,Black,13.125,42
Corsair Vengeance RGB 16 GB,67.98,"5,5200","2,8",4.249,Black / Gray,15.385,40
Crucial CT2K8G48C40U5 16 GB,41.99,"5,4800","2,8",2.624,Black,16.667,40
G.Skill Trident Z5 Neo 64 GB,204.99,"5,6000","2,32",3.203,Black / Silver,10,30
Silicon Power XPOWER Pulse Gaming 32 GB,79.97,"5,6000","2,16",2.499,Black,12,36
Corsair Vengeance RGB 32 GB,147.99,"5,6000","2,16",4.625,Black,9.333,28
Silicon Power SP016GLLTU160N22 16 GB,16.95,"3,1600","2,8",1.059,Green,13.75,11
PNY XLR8 Gaming RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12,36
G.Skill Trident Z5 RGB 32 GB,139.99,"5,7200","2,16",4.375,Black,9.444,34
Kingston FURY Beast 8 GB,29.89,"4,3200","1,8",3.736,Black,10,16
G.Skill Trident Z5 Neo RGB 64 GB,,"5,6000","2,32",,Black,8.667,26
Corsair Vengeance 32 GB,96.99,"5,5200","2,16",3.031,Black,15.385,40
TEAMGROUP T-Create Expert 32 GB,62.99,"4,3200","2,16",1.968,Gray,10,16
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"5,6400","2,16",2.656,Black,10,32
Corsair Dominator Titanium 96 GB,427.99,"5,7000","2,48",4.458,Black,11.429,40
Corsair Vengeance LPX 16 GB,91.99,"4,3600","2,8",5.749,Black,10,18
Lexar THOR 32 GB,,"4,3200","2,16",,Black,10,16
Corsair Vengeance RGB Pro 16 GB,97.91,"4,3200","2,8",6.119,White,10,16
Patriot Viper Venom 16 GB,52.99,"5,5200","2,8",3.312,Black / White,13.846,36
G.Skill Trident Z5 Royal 64 GB,259.99,"5,6400","2,32",4.062,Silver,10,32
Crucial Pro 64 GB,125.99,"4,3200","2,32",1.969,Black / Green,13.75,22
Corsair Dominator Titanium 96 GB,419.99,"5,6600","2,48",4.375,White,9.697,32
ADATA XPG Lancer Blade RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,10,30
Corsair Vengeance RGB 128 GB,389.99,"5,6400","2,64",,Black,13.125,42
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",4.531,White / Silver,10,30
Patriot Signature Line 32 GB,71.98,"5,4800","2,16",2.249,Black,16.667,40
Crucial CT2K16G48C40U5 32 GB,73.98,"5,4800","2,16",2.312,Black,16.667,40
G.Skill Trident Z5 Neo RGB 96 GB,414.99,"5,6000","2,48",4.323,Black,9.333,28
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",2.812,White,12.667,38
Crucial Pro Overclocking 64 GB,199.99,"5,6400","2,32",3.125,Black,12.5,40
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"5,6000","2,32",3.984,Black,9.333,28
Corsair Vengeance RGB Pro 32 GB,82.99,"4,3200","2,16",2.593,Black,10,16
G.Skill Flare X5 16 GB,,"5,6000","1,16",,Black,12,36
Corsair Vengeance 96 GB,324.99,"5,6000","2,48",3.385,Black / Silver,10,30
Corsair Vengeance LPX 8 GB,36.99,"4,2400","1,8",4.624,Black / Yellow,13.333,16
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",2.578,Black,10,30
Lexar Ares RGB 32 GB,114.99,"5,6000","2,16",3.593,Black,10,30
Crucial CT2K8G4DFRA32A 16 GB,56.54,"4,3200","2,8",3.534,Green,13.75,22
Corsair Dominator Titanium 32 GB,179.99,"5,6000","2,16",5.625,Black,10,30
Crucial CT8G4DFS824A 8 GB,19.98,"4,2400","1,8",2.498,Green,14.167,17
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",1.875,White,10,16
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,Black,10,18
Kingston FURY Beast RGB 64 GB,244.99,"5,6000","2,32",3.828,Black,10,30
Corsair Vengeance RGB 64 GB,217.99,"5,6000","2,32",3.406,Black,10,30
Corsair Vengeance 192 GB,614.99,"5,5200","4,48",3.203,Black,14.615,38
G.Skill Trident Z5 RGB 64 GB,254.99,"5,6800","2,32",3.984,Black,10,34
TEAMGROUP T-Force Vulcan 32 GB,82.99,"5,6000","2,16",2.593,Black,12.667,38
G.Skill Trident Z5 Neo 32 GB,116.99,"5,6000","2,16",3.656,Black,10,30
G.Skill Aegis 16 GB,44.99,"4,3200","2,8",2.812,Red / Black,10,16
PNY XLR8 32 GB,59.99,"4,3600","2,16",1.875,Black,10,18
TEAMGROUP Elite 16 GB,28.99,"4,2666","2,8",1.812,Black,14.254,19
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,Black,10,30
G.Skill Ripjaws S5 32 GB,89.99,"5,6000","2,16",2.812,Black,12,36
OLOy ND4U1632161DJ0DA 32 GB,69.99,"4,3200","2,16",2.187,Black,10,16
Corsair Vengeance RGB Pro 32 GB,142.99,"4,3200","2,16",4.468,White,10,16
ADATA XPG Lancer Blade 32 GB,152.21,"5,6000","2,16",4.757,Black,10,30
G.Skill Ripjaws V 32 GB,73.98,"4,3600","2,16",2.312,Black,10,18
Crucial Pro 64 GB,171.34,"5,6000","2,32",2.677,Black,13.333,40
Silicon Power XPOWER Turbine 16 GB,33.97,"4,3200","2,8",2.123,Blue,10,16
G.Skill Trident Z5 Royal Neo RGB 64 GB,259.99,"5,6000","2,32",4.062,Silver,10,30
Crucial CT16G48C40U5 16 GB,38.86,"5,4800","1,16",2.429,Black,16.667,40
Patriot Viper Steel 64 GB,164.99,"4,3600","2,32",2.578,Silver / Black,10,18
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",4.218,Black,9.375,30
Klevv FIT V 32 GB,84.99,"5,6000","2,16",2.656,White,10.667,32
TEAMGROUP T-Create Expert 32 GB,72.99,"5,6000","2,16",2.281,White,12.667,38
G.Skill Trident Z5 Neo RGB 32 GB,,"5,6000","2,16",,Black,8.667,26
Kingston FURY Beast RGB 16 GB,75.98,"5,6000","2,8",4.749,Black,12,36
Corsair Vengeance 32 GB,114.99,"5,6400","2,16",3.593,Black,10,32
Corsair Vengeance RGB 96 GB,349.99,"5,6000","2,48",3.646,Black / Silver,10,30
Corsair Vengeance RGB 32 GB,194.99,"5,8000","2,16",6.093,Black / Gray,9,36
Corsair Vengeance LPX 32 GB,160.99,"4,3600","2,16",5.031,Black / Yellow,10,18
Patriot Viper Xtreme 5 32 GB,134.99,"5,8200","2,16",4.218,Black,9.268,38
TEAMGROUP T-Force Delta RGB 32 GB,136.69,"4,3600","2,16",4.272,Black,10,18
G.Skill Ripjaws V 16 GB,45.99,"4,3600","2,8",2.874,Black,10,18
G.Skill Trident Z Neo 32 GB,99.99,"4,3600","2,16",3.125,Black / Silver,8.889,16
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",1.875,Black,10,16
Patriot Viper Venom RGB 32 GB,90.99,"5,6000","2,16",2.843,Black / Silver,10,30
Kingston FURY Beast 128 GB,402.99,"5,5600","4,32",3.148,White,14.286,40
Corsair Vengeance 48 GB,179.99,"5,6000","2,24",3.75,Black / Gray,10,30
Kingston FURY Beast 16 GB,64.99,"5,5600","2,8",4.062,Black / Silver,12.857,36
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"5,6000","2,48",4.687,Silver,9.333,28
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",3.375,Black,10,32
G.Skill Ripjaws S5 96 GB,284.99,"5,6400","2,48",2.969,Black,10,32
TEAMGROUP T-Force Delta RGB 32 GB,74.94,"4,3200","2,16",2.342,Black,10,16
G.Skill Trident Z5 RGB 32 GB,95.98,"5,6000","2,16",2.999,Black,12,36
Silicon Power SP016GBLFU320B22 16 GB,39.97,"4,3200","2,8",2.498,,13.75,22
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",4.218,White,9.375,30
G.Skill Ripjaws S5 32 GB,99.99,"5,5600","2,16",3.125,Black,10,28
Corsair Vengeance LPX 64 GB,128.99,"4,3600","2,32",2.015,Black,10,18
Patriot Viper Venom 32 GB,114.99,"5,7000","2,16",3.593,Black / White,9.143,32
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",3.375,White,10,32
G.Skill Aegis 32 GB,69.98,"4,3200","2,16",2.187,Red / Black,10,16
TEAMGROUP T-Create Expert 32 GB,89.99,"5,6400","2,16",2.812,Black,10,32
Kingston FURY Beast RGB 64 GB,239.99,"5,6000","2,32",3.75,White,10,30
G.Skill Trident Z5 Neo RGB 96 GB,,"5,6000","2,48",,Black,8.667,26
Lexar THOR OC 32 GB,104.99,"5,6000","2,16",3.281,Black / Gold,10.667,32
Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,"5,6000","2,32",2.656,White,10,30
Corsair Vengeance 64 GB,219.99,"5,6000","2,32",3.437,Black / Gray,10,30
TEAMGROUP T-Create Expert 64 GB,176.99,"5,6000","2,32",2.765,Black,11.333,34
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",4.531,Black / Gray,10,30
Kingston FURY Beast 128 GB,339.99,"5,5600","2,64",2.656,Black,12.857,36
Patriot Viper Venom 16 GB,49.99,"5,6400","2,8",3.124,Black / Red,10,32
Timetec PINNACLE Konduit 16 GB,31.99,"4,3200","2,8",1.999,White,10,16
G.Skill Trident Z5 RGB 64 GB,159.99,"5,6000","2,32",2.5,Black,12,36
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",4.687,White,10,30
Patriot Viper Venom 16 GB,48.99,"5,6000","1,16",3.062,Black / White,10,30
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,White,10,30
Corsair Vengeance RGB 64 GB,244.99,"5,6400","2,32",3.828,Black / Gray,10,32
Kingston KHX8500D2K2/4GR 4 GB,,"2,1066","2,2",,Blue,9.381,5
Corsair Vengeance 64 GB,149.99,"5,5600","2,32",2.344,Black,14.286,40
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3600","2,16",,Black,10,18
G.Skill Trident Z RGB 32 GB,105.53,"4,3200","2,16",3.298,Black,10,16
Kingston KCP424NS6/4 4 GB,9.99,"4,2400","1,4",2.498,Green / Black,14.167,17
G.Skill Trident Z5 Royal 48 GB,279.99,"5,8400","2,24",5.833,Silver,9.524,40
Corsair Vengeance LPX 32 GB,85.88,"4,3600","2,16",2.684,Black / Yellow,8.889,16
G.Skill Trident Z5 RGB 48 GB,214.99,"5,8000","2,24",4.479,Black,10,40
Corsair Vengeance 128 GB,540.99,"5,5600","4,32",4.226,Black,14.286,40
Kingston HyperX Fury 8 GB,,"4,2666","1,8",,Black,12.003,16
Kingston FURY Beast RGB 128 GB,399.99,"5,5200","4,32",3.125,Black,15.385,40
G.Skill Flare X5 32 GB,104.99,"5,6000","2,16",3.281,Black,10.667,32
TEAMGROUP Elite 32 GB,78.98,"4,3200","2,16",2.468,Black,13.75,22
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",2.812,Black,12.667,38
ADATA XPG SPECTRIX D35G RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
Crucial Pro 32 GB,94.99,"5,6400","2,16",2.968,White,11.875,38
G.Skill Trident Z RGB 64 GB,149.99,"4,3600","2,32",2.344,Black,10,18
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.437,Gray,10,16
Patriot Viper Venom 64 GB,159.99,"5,6000","2,32",2.5,Black / White,12,36
Corsair Vengeance RGB 32 GB,121.99,"5,6000","2,16",3.812,White,13.333,40
Crucial CT51264BA160B 4 GB,10.29,"3,1600","1,4",2.572,Green,13.75,11
