name,image
Corsair RM1000e (2025) 1000 W Fully Modular ATX Power Supply (CP-9020294-NA),https://cdna.pcpartpicker.com/static/forever/images/product/9fc6cb597b8f13a08550ae7d3eba25bf.256p.jpg
MSI MPG A1000GS PCIE5 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (MPG A1000GS PCIE5),https://cdna.pcpartpicker.com/static/forever/images/product/e30f8fbb357a16391b3a15586b9aaec4.256p.jpg
Corsair RM850e (2025) 850 W Fully Modular ATX Power Supply (CP-9020293-NA),https://cdna.pcpartpicker.com/static/forever/images/product/7d68ac724aae3cabe95f98de8df643ae.256p.jpg
Corsair RM750e (2025) 750 W Fully Modular ATX Power Supply (CP-9020292-NA),https://cdna.pcpartpicker.com/static/forever/images/product/3b9e84b0c082af2c8d1beed2698c3a69.256p.jpg
Super Flower Leadex Titanium 2800 W 80+ Titanium Certified Fully Modular ATX Power Supply (SF-2800F14HP),
Silverstone HELA 2050 W Fully Modular ATX Power Supply (SST-HA2050-PT),https://cdna.pcpartpicker.com/static/forever/images/product/9c9639e52f92dce6daf30dc4423b1cda.256p.jpg
Thermaltake Smart 600 W 80+ Certified ATX Power Supply (PS-SPD-0600NPCWUS-W),https://images-eu.ssl-images-amazon.com/images/I/51Ih1TB6nFL.jpg
Cooler Master MWE Gold 850 - V2 850 W 80+ Gold Certified Fully Modular ATX Power Supply (MPE-8501-AFAAG-US),https://cdna.pcpartpicker.com/static/forever/images/product/01c5294aaa030cd889e3923906b92a10.256p.jpg
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (EG1000),https://cdna.pcpartpicker.com/static/forever/images/product/2b6505f267e91c686ae87e596ed59260.256p.jpg
Rosewill VSB 650 W 80+ Bronze Certified Semi-modular ATX Power Supply (VSB650),https://cdna.pcpartpicker.com/static/forever/images/product/e12bec22ce3376a2356f504366ad1d8b.256p.jpg
be quiet! Dark Power 13 1000 W 80+ Titanium Certified Fully Modular ATX Power Supply (BN661),https://cdna.pcpartpicker.com/static/forever/images/product/7fa3368565fa6e4e0196112cf171e1b5.256p.jpg
Corsair RM750e (2023) 750 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020262-NA),https://cdna.pcpartpicker.com/static/forever/images/product/336c7955df0312d04655dd3a13973c95.256p.jpg
be quiet! Pure Power 13 M 850 W 80+ Gold Certified Fully Modular ATX Power Supply (BP027US),https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg
