name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,image
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,Zen 4,65,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg
Intel Core i7-4790K,130.51,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51D3J+33JwL.jpg
Intel Core i3-4130,41.0,2,3.4,,Haswell,54,Intel HD Graphics 4400,https://cdna.pcpartpicker.com/static/forever/images/product/42a54c308242991186f4f6a3fde7603d.256p.jpg
Intel Core i5-4690,52.0,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51vb+UYTxSL.jpg
Intel Core i5-8400,198.95,6,2.8,4.0,Coffee Lake,65,Intel UHD Graphics 630,https://cdna.pcpartpicker.com/static/forever/images/product/066a1b8f33dd5d26a14a4a76eb254032.256p.jpg
AMD Threadripper 1950X,850.0,16,3.4,4.0,Zen,180,,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
Intel Core i7-5820K,,6,3.3,3.6,Haswell,140,,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
Intel Core i5-6600,,4,3.3,3.9,Skylake,65,Intel HD Graphics 530,https://cdna.pcpartpicker.com/static/forever/images/product/39c7a343d00445b6e0e5d54d4b7ed561.256p.jpg
Intel Core i7-8700,,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,https://cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg
Intel Celeron G6900,93.71,2,3.4,,Alder Lake,46,Intel UHD Graphics 710,https://cdna.pcpartpicker.com/static/forever/images/product/9741c4e0d5347f8b94409b0414f416db.256p.jpg
AMD EPYC 4244P,189.33,6,3.8,5.1,Zen 4,65,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
Intel Core i9-13900,414.99,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770,https://cdna.pcpartpicker.com/static/forever/images/product/9ec7bf0f10e60c175e9b64c51bab7240.256p.jpg
Intel Pentium Gold G7400,90.0,2,3.7,,Alder Lake,46,Intel UHD Graphics 710,https://cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg
Intel Core i9-9940X,1950.0,14,3.3,4.4,Skylake,165,,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
