name,price,capacity,price_per_gb,type,cache,form_factor,interface,image
Western Digital WD_BLACK SN7100,73.0,1000,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Crucial P3,69.38,1000,0.069,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Patriot Burst Elite,12.49,120,0.104,SSD,,2.5,SATA 6.0 Gb/s,
Acer Predator GM7000,124.99,2000,0.062,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Blue,64.98,2000,0.032,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg
Kingston Fury Renegade,154.0,2000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate BarraCuda,54.59,1000,0.055,7200,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Crucial BX500,66.98,1000,0.067,SSD,,2.5,SATA 6.0 Gb/s,
Western Digital WD_BLACK SN8100,464.99,4000,0.116,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Western Digital WD Green SN3000,67.99,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
TEAMGROUP T-FORCE G50,57.99,1000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Samsung 970 Evo Plus,189.95,2000,0.095,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Samsung 990 Pro w/Heatsink,159.99,2000,0.08,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Lexar NM790,67.99,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Samsung 990 EVO,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2,
Western Digital WD_BLACK SN8100,224.99,2000,0.112,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Samsung 980,106.9,1000,0.107,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Crucial T705,389.99,4000,0.097,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Crucial T500,75.19,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Patriot P300,23.49,256,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://m.media-amazon.com/images/I/411-9QPiZXL.jpg
Patriot Viper VP4300 Lite,103.98,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
