name,price,capacity,price_per_gb,type,cache,form_factor,interface,image
ADATA XPG GAMMIX S70 Blade,75.98,1000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Kingston KC3000,67.99,512,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Blue SN550,104.85,1000,0.105,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Acer Predator GM7,124.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP T-Force Vulcan Z,91.99,2000,0.046,SSD,,2.5,SATA 6.0 Gb/s,
TEAMGROUP T-Force Delta Max RGB Lite,58.99,1000,0.059,SSD,,2.5,SATA 6.0 Gb/s,
Silicon Power A55,27.99,512,0.055,SSD,,2.5,SATA 6.0 Gb/s,
Seagate Barracuda Compute,64.98,2000,0.032,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Corsair MP600 PRO NH,849.0,8000,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Lexar NQ790,146.79,2000,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
PNY XLR8 CS3040,499.99,4000,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
MSI SPATIUM M371,49.99,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Crucial P510,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Crucial MX500,132.0,500,0.264,SSD,512.0,2.5,SATA 6.0 Gb/s,
TEAMGROUP QX,85.99,2000,0.043,SSD,,2.5,SATA 6.0 Gb/s,
MSI SPATIUM M460,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Patriot Viper VP4300 Lite,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Samsung 980 Pro w/Heatsink,150.99,1000,0.151,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial BX500,23.49,240,0.098,SSD,,2.5,SATA 6.0 Gb/s,
Western Digital WD_Black SN850X w/Heatsink,174.99,2000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Western Digital WD_BLACK,179.89,4000,0.045,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/8fb58c4077beaad4862ae568730a61b6.256p.jpg
Gigabyte AORUS Gen4 7300,147.99,2000,0.074,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,
Crucial P310,49.98,500,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Blue,69.98,500,0.14,SSD,,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg
Seagate IronWolf Pro,315.31,16000,0.02,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial T700,139.99,1000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Samsung 9100 PRO w/Heatsink,,8000,,SSD,8192.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
ADATA LEGEND 860,77.49,1000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital WD Blue SN5000,230.39,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Samsung 850 Evo,,500,,SSD,,2.5,SATA 6.0 Gb/s,
Lexar NM620,39.99,512,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Silicon Power US75,109.97,2000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Toshiba MG04ACA600E,150.0,6000,0.025,7200,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/fb19ec155b9d619a4912c8265ab74c3c.256p.jpg
Corsair MP700 PRO SE,549.99,4000,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Western Digital WD_BLACK,265.0,10000,0.026,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/8fb58c4077beaad4862ae568730a61b6.256p.jpg
TEAMGROUP MS30,30.99,512,0.061,SSD,,M.2-2280,M.2 SATA,
Western Digital Black SN750,119.0,1000,0.119,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Patriot P320,32.99,512,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Corsair MP600 CORE XT,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Blue SA510,115.19,2000,0.058,SSD,,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Patriot P400 Lite,35.99,500,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate Exos X20,349.99,20000,0.017,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/41709ead4814bb1350fa3505d707758c.256p.jpg
TEAMGROUP T-Force Vulcan Z,31.99,512,0.062,SSD,,2.5,SATA 6.0 Gb/s,
TEAMGROUP MP44Q,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Patriot P210,18.98,256,0.074,SSD,,2.5,SATA 6.0 Gb/s,
Crucial MX500,,2000,,SSD,2048.0,2.5,SATA 6.0 Gb/s,
Patriot P320,52.99,1000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Western Digital WD Blue SN5000,44.75,500,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Kingston FURY Renegade G5,242.31,2048,0.118,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
