name,price,socket,form_factor,max_memory,memory_slots,color,image
Asus ROG STRIX B860-I GAMING WIFI,219.99,LGA1851,Mini ITX,128,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/680d520ef892efb6864b638be584cc9a.256p.jpg
ASRock H370M-HDV,74.98,LGA1151,Micro ATX,64,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/705b5dd683b4cbb22aa23484758f51ab.256p.jpg
Asus ROG STRIX B550-A GAMING,241.13,AM4,ATX,128,4,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/5ac88d84f61dd91c0621ac30c4dc5480.256p.jpg
NZXT N7 B650E,260.88,AM5,ATX,128,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
Gigabyte X870E AORUS PRO,349.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/e10a4432559e6016902b572d4e062e7c.256p.jpg
MSI Z790 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/8ebf82190e0ae9871ce4a1a4c824e204.256p.jpg
MSI MPG B850I EDGE TI WIFI,249.99,AM5,Mini ITX,128,2,Silver,https://cdna.pcpartpicker.com/static/forever/images/product/9215de4401fbfce1a54ecc659fc6f3b5.256p.jpg
ASRock B650 PRO RS,147.02,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ccef8c9b5cad8a1a27840cb7082b4bcb.256p.jpg
Gigabyte Z790 S WIFI DDR4 (rev. 1.0),,LGA1700,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Gigabyte B650E AORUS ELITE X AX ICE,209.0,AM5,ATX,192,4,Silver / White,https://m.media-amazon.com/images/I/41jglVrDisL.jpg
MSI PRO B840-P WIFI,159.99,AM5,ATX,256,4,Silver,https://cdna.pcpartpicker.com/static/forever/images/product/93d5075a8c12fbe641b5bb67f4a4fd3b.256p.jpg
ASRock B550M-ITX/ac,99.99,AM4,Mini ITX,64,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/66aa5dd590cf1bb5fe8de0417f9ed7e6.256p.jpg
Gigabyte X870E AORUS MASTER,499.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ed1f6782e1b86645c63ded6d9341826a.256p.jpg
ASRock B850 Pro-A,139.99,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg
ASRock B760M-H2/M.2,153.88,LGA1700,Micro ATX,96,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
Asus ROG STRIX B850-E GAMING WIFI,339.0,AM5,ATX,256,4,Black,https://m.media-amazon.com/images/I/518Anf1ta6L.jpg
MSI MAG B650M MORTAR WIFI,198.99,AM5,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
ASRock B650M Pro X3D WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
MSI PRO X870-P WIFI,273.0,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/7c477d52ba6b9b085a3207046aecebd2.256p.jpg
Asus PRIME B550-PLUS AC-HES,129.99,AM4,ATX,128,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/d1cc901f52eef99cab0cc4d4255401ea.256p.jpg
Asus PRIME X870-P WIFI,219.99,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/b8d7644383eb0f52cf18ebde7e83176b.256p.jpg
Gigabyte B650M AORUS ELITE AX,199.99,AM5,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/959c60578b19c2067f96036a19691ac0.256p.jpg
ASRock B550 Phantom Gaming-ITX/ax,149.99,AM4,Mini ITX,64,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus Z790-AYW WIFI W II,189.99,LGA1700,ATX,192,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/b22deeb4627bdcc5bb070b2f51cbe5b6.256p.jpg
ASRock B850M Riptide WiFi,169.99,AM5,Micro ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/b17a445556fd7abaaebb5f907bf7942d.256p.jpg
Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Asus TUF GAMING B760M-PLUS WIFI II,263.77,LGA1700,Micro ATX,192,4,Black / Orange,https://cdna.pcpartpicker.com/static/forever/images/product/e88401bf243576dc4626866d019cd58e.256p.jpg
Gigabyte B650M AORUS ELITE AX ICE,199.99,AM5,Micro ATX,192,4,Silver,https://m.media-amazon.com/images/I/51I4yoLwY7L.jpg
Asus ROG CROSSHAIR X670E HERO,,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/fc1500861d9fdb521459849de62b11d4.256p.jpg
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/0910ab20a011a742b9fcf2f1aab43c8d.256p.jpg
Asus PRIME B760M-A AX,131.74,LGA1700,Micro ATX,128,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/98306ad4df2d2566069162fdf4ecb6d2.256p.jpg
Gigabyte B550M DS3H,137.64,AM4,Micro ATX,128,4,Black / Gold,https://cdna.pcpartpicker.com/static/forever/images/product/61e134589d40c606cd6ac71cd3603434.256p.jpg
MSI PRO B650-P WIFI,169.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/b381dd1cf368e92388a8bfc64866fcc5.256p.jpg
ASRock B650M-H/M.2+,99.99,AM5,Micro ATX,96,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/07c31fe938c6e8531c051bc527759992.256p.jpg
ASRock X870 Steel Legend WiFi,259.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus ROG MAXIMUS Z790 DARK HERO,999.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
Gigabyte Z790 AORUS ELITE X WIFI7,239.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/a42ec2d24365991ac8e4f9a3067f2e85.256p.jpg
ASRock H610M/ac,89.99,LGA1700,Micro ATX,64,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
Gigabyte B650I AORUS ULTRA,237.0,AM5,Mini ITX,96,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/d24b8a128d98467e0dd3bc57882ddd55.256p.jpg
Gigabyte A620M S2H,110.82,AM5,Micro ATX,96,2,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Gigabyte Z890 EAGLE WIFI7,224.27,LGA1851,ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Asus ROG STRIX B450-F GAMING II,269.27,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/0f27bb84f57d51a9cb2b0c91d25efb0f.256p.jpg
Asus ROG STRIX X870-F GAMING WIFI,419.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/10aa151066c248c524d1a2a4793e91c0.256p.jpg
Gigabyte B450M DS3H,153.26,AM4,Micro ATX,128,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/176028811e50cad67b57ed0e604229c9.256p.jpg
Asus PRIME B840-PLUS WIFI,149.99,AM5,ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
ASRock B850 LiveMixer WiFi,189.99,AM5,ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus TUF GAMING B550M-PLUS WIFI II,199.99,AM4,Micro ATX,128,4,Black / Gray,https://m.media-amazon.com/images/I/51q6ackGrcL.jpg
ASRock B450M PRO4 R2.0,99.99,AM4,Micro ATX,128,4,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/c289ccdec3ef04b9f29b7e33e59e7c02.256p.jpg
ASRock B660M Pro RS,107.99,LGA1700,Micro ATX,128,4,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
ASRock A620M Pro RS WiFi,148.93,AM5,Micro ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus ROG STRIX X670E-E GAMING WIFI,384.0,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/e6ec6fd92a901825fcbcc79fea85c79f.256p.jpg
ASRock H510M-HDV/M.2 SE,94.31,LGA1200,Micro ATX,64,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/19311c5e50110735a54fd1883b3291f5.256p.jpg
Asus ROG STRIX B550-F GAMING,219.99,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/923cae0c8159c98aaf91541a20f95dc9.256p.jpg
ASRock B550M-HDV,89.99,AM4,Micro ATX,64,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/f50779cfddeda830b0af852915702a00.256p.jpg
MSI PRO Z890-P WIFI,189.99,LGA1851,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
MSI PRO B650-A WIFI,169.99,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/1ebe7481f8913ec4a4ee845a71de622b.256p.jpg
ASRock B850M-X WiFi,124.99,AM5,Micro ATX,128,2,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/cf3d0f0524d2e319b2e8eb117d9b63ca.256p.jpg
Gigabyte B550M AORUS ELITE,134.0,AM4,Micro ATX,128,4,Black / Orange,https://cdna.pcpartpicker.com/static/forever/images/product/bf6939e818d9dd155a2acf5199ef6720.256p.jpg
ASRock Phantom Gaming X870 Riptide WiFi,249.99,AM5,ATX,256,4,Black / Purple,https://cdna.pcpartpicker.com/static/forever/images/product/a3d3820d2dc15d622503bab5374400d7.256p.jpg
Asus PRIME B650M-A WIFI II,237.07,AM5,Micro ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ad4cb091a8b12d54b7ea92865fbddc2f.256p.jpg
MSI MPG B850 EDGE TI WIFI,309.99,AM5,ATX,256,4,Silver / White,https://cdna.pcpartpicker.com/static/forever/images/product/96e46dd70c74cd0a13c6e161f4a0fa72.256p.jpg
MSI PRO B760M-A WIFI DDR4,154.99,LGA1700,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/6bc2735a3e9fd678f10b45359fd4121d.256p.jpg
Gigabyte B550M GAMING X WIFI6,154.99,AM4,Micro ATX,128,4,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/cd5f3bb9add2e4123ade1d5161553326.256p.jpg
MSI B650M PROJECT ZERO,229.99,AM5,Micro ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/5d6438f204d9a75545fa27ce60fbb3b9.256p.jpg
Gigabyte B650M GAMING WIFI,,AM5,Micro ATX,96,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/7486bd0a06a2794a9f33b9104c25ca57.256p.jpg
ASRock H81 Pro BTC,44.98,LGA1150,ATX,16,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
Gigabyte B760 GAMING X AX,239.94,LGA1700,ATX,192,4,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus ROG STRIX B450-F GAMING,129.99,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/66e5b5e4d0a52b6a2f99bb53bf52eee7.256p.jpg
MSI PRO-H610M-E-DDR4,,LGA1700,Micro ATX,64,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus B760M-AYW WIFI D4 II,99.99,LGA1700,Micro ATX,64,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/1e20fcdfc3ac73aae41d19e73b2d505c.256p.jpg
ASRock X870E Taichi Lite,299.99,AM5,EATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg
MSI MPG Z790 CARBON MAX WIFI II,469.99,LGA1700,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus PRIME B760-PLUS,,LGA1700,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus PRIME A320M-K,,AM4,Micro ATX,32,2,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
NZXT N9 X870E,459.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg
Asus ROG CROSSHAIR X870E APEX,749.99,AM5,ATX,128,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/5062e49eb8bbd20c8095147db90fba14.256p.jpg
Asus ROG STRIX Z890-E GAMING WIFI,424.0,LGA1851,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/e454bdc289a21a76440be26aaacc1c38.256p.jpg
Asus TUF GAMING X670E-PLUS WIFI,235.99,AM5,ATX,192,4,Black / Orange,https://cdna.pcpartpicker.com/static/forever/images/product/a50762ffa9e13f8e51e5e914137c47a1.256p.jpg
Gigabyte B650I AX,223.75,AM5,Mini ITX,96,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/84541ae6fccab36ca43f3d19efa9cae2.256p.jpg
Asus ROG STRIX Z790-E GAMING WIFI,399.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/e454bdc289a21a76440be26aaacc1c38.256p.jpg
Gigabyte B650 GAMING X AX,166.63,AM5,ATX,192,4,Black / Gray,https://m.media-amazon.com/images/I/51FV8n5IuGL.jpg
ASRock B660M-HDV,107.51,LGA1700,Micro ATX,64,2,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
Gigabyte X670 AORUS ELITE AX,239.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
MSI PRO B850M-P WIFI,179.99,AM5,Micro ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/e5ef70a31eda568d633f331a887b2aae.256p.jpg
Gigabyte B450M K,99.95,AM4,Micro ATX,64,2,Brown / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
ASRock G41M-S,57.7,LGA775,Micro ATX,8,2,Blue / White,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
Gigabyte X870E AORUS ELITE WIFI7 ICE,329.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/d1f30b497f0fd6289278b33ec776f86b.256p.jpg
Gigabyte X870E AORUS XTREME AI TOP,799.99,AM5,EATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
MSI B650M GAMING WIFI,,AM5,Micro ATX,96,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
ASRock B860I WiFi,159.99,LGA1851,Mini ITX,128,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus TUF GAMING B650-PLUS,159.99,AM5,ATX,128,4,Black / Orange,https://cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg
Gigabyte GA-B250M-DS3H,203.44,LGA1151,Micro ATX,64,4,Black / Gold,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Gigabyte B650M S2H,147.47,AM5,Micro ATX,96,2,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
MSI B550M PRO-VDH,153.09,AM4,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
ASRock B450M Steel Legend,92.67,AM4,Micro ATX,64,4,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
MSI MAG Z790 TOMAHAWK MAX WIFI,248.43,LGA1700,ATX,192,4,Black / Yellow,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
ASRock B850 Pro-A WiFi,177.99,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
NZXT N9 X870E,459.99,AM5,ATX,192,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg
ASRock B850M Pro RS,149.99,AM5,Micro ATX,256,4,Silver / Black,https://m.media-amazon.com/images/I/41Eyw5EG+4L.jpg
Asus B650E MAX GAMING WIFI,169.99,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
MSI Z390-A PRO,236.99,LGA1151,ATX,128,4,Brown / Black,https://cdna.pcpartpicker.com/static/forever/images/product/65d2e2e1dd6c41fe051500c6d88ffe0c.256p.jpg
Asus TUF GAMING B850-BTF WIFI W,279.99,AM5,ATX,256,4,White / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
