name,price,socket,form_factor,max_memory,memory_slots,color,image
Asus TUF GAMING B550-PLUS WIFI II,148.99,AM4,ATX,128,4,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/6b136eab8dcdd8f78e02da5a09b96795.256p.jpg
Asus TUF GAMING B650-E WIFI,199.99,AM5,ATX,192,4,Black / Orange,https://cdna.pcpartpicker.com/static/forever/images/product/287ac861ab77945d4c6d046865f62b5e.256p.jpg
Gigabyte Z790 EAGLE AX,169.99,LGA1700,ATX,192,4,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/3d487ee6ea150ca534c123f409cbae68.256p.jpg
MSI B450M-A PRO MAX II,97.09,AM4,Micro ATX,64,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/a1a4552c218bc30c1738a3642c5691dd.256p.jpg
MSI PRO B650M-P,149.99,AM5,Micro ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/f03f1d667284f39b3eaf208a50cdbb68.256p.jpg
ASRock B450M/ac R2.0,74.99,AM4,Micro ATX,128,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/3097c6aa9533b84ddbaa1ce0be506081.256p.jpg
Asus TUF GAMING B850M-PLUS WIFI,219.99,AM5,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/1d8ae56612d85a6804f4da9a9bc4c5e4.256p.jpg
ASRock B450M-HDV R4.0,69.98,AM4,Micro ATX,64,2,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/2b2897ac0de148a2935c3277573131b3.256p.jpg
Gigabyte B850 AORUS ELITE WIFI7 ICE,239.99,AM5,ATX,256,4,White / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/b0c60fa6ec041477ad48e09d4203a0da.256p.jpg
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/bc24eb1e51b0165c40c5fa45e30055ce.256p.jpg
Asus ROG STRIX B550-F GAMING WIFI II,169.99,AM4,ATX,128,4,Black / Red,https://cdna.pcpartpicker.com/static/forever/images/product/923cae0c8159c98aaf91541a20f95dc9.256p.jpg
Gigabyte B850M GAMING X WIFI6E,159.99,AM5,Micro ATX,256,4,Black,https://m.media-amazon.com/images/I/51Nm-+9BkbL.jpg
Asus ROG CROSSHAIR X870E HERO,649.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/308921dd82c7029537edd075cf518569.256p.jpg
Gigabyte A520I AC,99.99,AM4,Mini ITX,64,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/87329029966463ec6eac31fad52fae85.256p.jpg
Gigabyte B550M AORUS ELITE AX,149.99,AM4,Micro ATX,128,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/bf6939e818d9dd155a2acf5199ef6720.256p.jpg
ASRock B850M Pro-A WiFi,140.98,AM5,Micro ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
ASRock B650M PG Lightning Wifi,191.66,AM5,Micro ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/1a90e8359fccb756980a4cea99fab24f.256p.jpg
MSI MPG B550 GAMING PLUS,104.99,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/607f7ca77131a0bf7dc6b75617795203.256p.jpg
MSI A520M-A PRO,67.62,AM4,Micro ATX,64,2,Black,https://m.media-amazon.com/images/I/61rBzM2fjzL.jpg
MSI PRO B650M-A WIFI,145.99,AM5,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/a7ffc5ab34c099836bb0ff9f9dfcab6d.256p.jpg
Asus ROG STRIX B650E-F GAMING WIFI,254.25,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/b950287e2f141caa4638fc93dc99a6ba.256p.jpg
Asus ROG STRIX B850-A GAMING WIFI,239.0,AM5,ATX,192,4,White,https://m.media-amazon.com/images/I/515foeFWRnL.jpg
ASRock B550M Pro4,99.99,AM4,Micro ATX,128,4,Silver / Black,https://m.media-amazon.com/images/I/51P4WIOlrnL.jpg
MSI MAG X670E TOMAHAWK WIFI,248.71,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/c4516e2f81a19d4c9045028a3bae013b.256p.jpg
Asus TUF GAMING B650M-E WIFI,,AM5,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/72cc976378dc0a1ba1f4cbd2e4be5754.256p.jpg
Asus ROG STRIX B850-I GAMING WIFI,299.99,AM5,Mini ITX,96,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/573b392b2d5a728c3a15f84dce93449b.256p.jpg
Asus ROG STRIX B650E-I GAMING WIFI,219.95,AM5,Mini ITX,96,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/bf950d502a28575d015348684bf78a37.256p.jpg
MSI MPG X870E CARBON WIFI,499.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/fac31c8cea999908580b1081eed58c0e.256p.jpg
Gigabyte B850 GAMING WIFI6,179.99,AM5,ATX,256,4,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/3138eb73b8a80dfd7e279a4c1d7ab934.256p.jpg
MSI B850 GAMING PLUS WIFI,199.99,AM5,ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/2bbb6b8dc2a1b1dbd36d70f7733677f3.256p.jpg
Asus TUF GAMING X870-PLUS WIFI,266.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/0817e1eae7204d437ef0084b49c0c855.256p.jpg
Gigabyte Z790 AORUS ELITE AX,184.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ba20600286bf8f74ce71df37ed8aef65.256p.jpg
MSI B550-A PRO,125.99,AM4,ATX,128,4,Black / Silver,https://m.media-amazon.com/images/I/51YHWAAsu5L.jpg
Asus ROG CROSSHAIR X870E EXTREME,999.99,AM5,EATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/32edc55907aae5cb63ec877846bb73ac.256p.jpg
ASRock B850M Pro RS WiFi,149.99,AM5,Micro ATX,256,4,Silver / Black,https://m.media-amazon.com/images/I/41Eyw5EG+4L.jpg
Asus TUF GAMING Z790-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/aeb8a7dad48da098b42945e9439076fe.256p.jpg
Gigabyte X870E AORUS PRO ICE,329.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/e10a4432559e6016902b572d4e062e7c.256p.jpg
Gigabyte B650 AORUS ELITE AX,185.99,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/2bb6d5c9fa86895c102e1ee17fbebdf3.256p.jpg
Gigabyte A620I AX,138.0,AM5,Mini ITX,96,2,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/69a825f37db70263d7e51fb24fb8e887.256p.jpg
Gigabyte X870I AORUS PRO ICE,284.99,AM5,Mini ITX,128,2,White,https://cdna.pcpartpicker.com/static/forever/images/product/08f4be6287189613c69c5b5dfd6cd88b.256p.jpg
MSI B650M GAMING PLUS WIFI,219.51,AM5,Micro ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/69431e8d4900acff3cc388ff5f5f3ea7.256p.jpg
Asus ROG STRIX B850-F GAMING WIFI,269.18,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/da67975baa3e2a69497334af8eee81ce.256p.jpg
ASRock X870 Pro RS,179.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/3c18873a597e1d70ab53fca8e67c2897.256p.jpg
MSI PRO A620M-E,154.9,AM5,Micro ATX,96,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Asus TUF GAMING B650E-PLUS WIFI,189.99,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/54e3f2f7c2cbb05cfc37c8f430d547ea.256p.jpg
Gigabyte B850 GAMING X WIFI6E,197.99,AM5,ATX,256,4,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/62258989025bb9dd8fb1abaa606d1444.256p.jpg
Gigabyte B550 GAMING X V2,129.99,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/09d3314474cf5fefa2bd5c5941bb33b5.256p.jpg
ASRock B650M-HDV/M.2,138.63,AM5,Micro ATX,96,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/d28123654f51c07102f4b17dc4a08e54.256p.jpg
Asus Z790 GAMING WIFI7,179.99,LGA1700,ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/c4369596c853d9da016e5878929ce45d.256p.jpg
MSI MAG X870E TOMAHAWK WIFI,309.99,AM5,ATX,256,4,Black / Green,https://cdna.pcpartpicker.com/static/forever/images/product/d45365fc05268cf82bf9720808262049.256p.jpg
Gigabyte B550 EAGLE WIFI6,129.99,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/9435af2197a80fcb37bc356ec9b83413.256p.jpg
MSI PRO H610M-G DDR4,93.99,LGA1700,Micro ATX,64,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/8a6d9e0f04302ca47ff65d23bda24e49.256p.jpg
MSI MEG X870E GODLIKE,999.99,AM5,EATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ad4f70457b02886f1e6f9c9ae20a72f1.256p.jpg
ASRock X870 Pro RS WiFi,240.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/3c18873a597e1d70ab53fca8e67c2897.256p.jpg
Gigabyte B850M AORUS ELITE WIFI6E ICE,199.99,AM5,Micro ATX,256,4,White / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/0b600a0ada98f511e01e72c821404686.256p.jpg
ASRock B760M-HDV/M.2,119.32,LGA1700,Micro ATX,96,2,White / Black,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
Gigabyte TRX40 DESIGNARE,1449.0,sTRX4,XL ATX,256,8,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/252dcd44f35f054776a82e38a3ac4cbf.256p.jpg
ASRock A520M-HDV,62.99,AM4,Micro ATX,64,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/44867ec7814048eb5afc863cc9bc1de3.256p.jpg
ASRock B550 Phantom Gaming 4/ac,99.99,AM4,ATX,128,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/987495c240f254ae7314bdd8ae3c426c.256p.jpg
Gigabyte X870 AORUS ELITE WIFI7,262.0,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d1f30b497f0fd6289278b33ec776f86b.256p.jpg
Asus ROG STRIX B760-I GAMING WIFI,209.95,LGA1700,Mini ITX,96,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/9b8e42f3b4e9ba5f9b18b87beb9359ec.256p.jpg
Gigabyte X870 GAMING WIFI6,189.99,AM5,ATX,256,4,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/2a78caa1159b44ac04ac0b6245d7a20b.256p.jpg
ASRock A620M-HDV/M.2,129.14,AM5,Micro ATX,96,2,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/a00629e6f5d93a9d8daf0981a338e993.256p.jpg
MSI MAG Z890 TOMAHAWK WIFI,239.99,LGA1851,ATX,256,4,Black / Yellow,https://cdna.pcpartpicker.com/static/forever/images/product/c4627c92bb33a5c35c247e2b415d25ed.256p.jpg
Asus ProArt X870E-CREATOR WIFI,517.99,AM5,ATX,256,4,Black / Gold,https://cdna.pcpartpicker.com/static/forever/images/product/90a7314681e18b425d4240b917dd7d3e.256p.jpg
ASRock B650 PG LIGHTNING,129.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/e620945c5a6d2b798d7c52e3d29cfe6c.256p.jpg
MSI MAG B550 TOMAHAWK,139.99,AM4,ATX,128,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/cf20560e7e4a9e474fcb4c88238e4ffd.256p.jpg
MSI MAG B760 TOMAHAWK WIFI,164.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Gigabyte B550 UD AC,119.99,AM4,ATX,128,4,Brown / Black,https://cdna.pcpartpicker.com/static/forever/images/product/9c84b688f61e7464302774dcde515727.256p.jpg
Gigabyte B650M D3HP AX,139.99,AM5,Micro ATX,192,4,Black / Gray,https://cdna.pcpartpicker.com/static/forever/images/product/9f65900ab94286e8bd58699c80326ce3.256p.jpg
Asus PRIME B650M-A AX II,168.99,AM5,Micro ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/5d5ee347c25c68a482c14cd91df23cbb.256p.jpg
ASRock B650I Lightning Wifi,199.99,AM5,Mini ITX,96,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/40e47e0c22c38ba2269880dd81c305f3.256p.jpg
ASRock X870E Taichi,468.95,AM5,EATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/23ef2a9c06fcdba69a77129c3df09ee6.256p.jpg
MSI MPG X870E EDGE TI WIFI,289.99,AM5,ATX,256,4,Silver / White,https://cdna.pcpartpicker.com/static/forever/images/product/c4c8f2a6a1e68f45227b8d0901995a43.256p.jpg
ASRock Phantom Gaming X870E Nova WiFi,299.99,AM5,ATX,256,4,Black / Purple,https://cdna.pcpartpicker.com/static/forever/images/product/eaa95c0e62803b458f2f0d163dfffa91.256p.jpg
MSI PRO X870E-P WIFI,244.94,AM5,ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/818755e4ae3a17cd1e3dc208ed4017fe.256p.jpg
MSI PRO B850-P WIFI,199.99,AM5,ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/5b18758444f0beaee3b10e125a16688e.256p.jpg
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
ASRock B850 Riptide WiFi,199.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
MSI B840 GAMING PLUS WIFI,149.99,AM5,ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
