name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,image
G.Skill Trident Z5 Neo 32 GB,116.99,"5,6000","2,16",3.656,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/37bd3f985cbc5a2416495a81ef2b23c5.256p.jpg
G.Skill Aegis 16 GB,44.99,"4,3200","2,8",2.812,Red / Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/9e003e10740c0e04136649de59fa2ab5.256p.jpg
PNY XLR8 32 GB,59.99,"4,3600","2,16",1.875,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP Elite 16 GB,28.99,"4,2666","2,8",1.812,Black,14.254,19,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,Black,10.0,30,https://m.media-amazon.com/images/I/311vehRJz4L.jpg
G.Skill Ripjaws S5 32 GB,89.99,"5,6000","2,16",2.812,Black,12.0,36,https://m.media-amazon.com/images/I/41z7Yocy0HL.jpg
OLOy ND4U1632161DJ0DA 32 GB,69.99,"4,3200","2,16",2.187,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB Pro 32 GB,142.99,"4,3200","2,16",4.468,White,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg
ADATA XPG Lancer Blade 32 GB,152.21,"5,6000","2,16",4.757,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/3190e28306e4fabc7a8f363ddbf08a22.256p.jpg
G.Skill Ripjaws V 32 GB,73.98,"4,3600","2,16",2.312,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg
Crucial Pro 64 GB,171.34,"5,6000","2,32",2.677,Black,13.333,40,https://cdna.pcpartpicker.com/static/forever/images/product/332fe880e8def29585f15f72927e21a2.256p.jpg
Silicon Power XPOWER Turbine 16 GB,33.97,"4,3200","2,8",2.123,Blue,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Trident Z5 Royal Neo RGB 64 GB,259.99,"5,6000","2,32",4.062,Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/5b9e0d994655f13f9392b5c156af24f2.256p.jpg
Crucial CT16G48C40U5 16 GB,38.86,"5,4800","1,16",2.429,Black,16.667,40,https://cdna.pcpartpicker.com/static/forever/images/product/1c689a15a147abb3f1f1a6f4d05a43c2.256p.jpg
Patriot Viper Steel 64 GB,164.99,"4,3600","2,32",2.578,Silver / Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",4.218,Black,9.375,30,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg
Klevv FIT V 32 GB,84.99,"5,6000","2,16",2.656,White,10.667,32,https://m.media-amazon.com/images/I/31oQ-y5fC2L.jpg
TEAMGROUP T-Create Expert 32 GB,72.99,"5,6000","2,16",2.281,White,12.667,38,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
G.Skill Trident Z5 Neo RGB 32 GB,,"5,6000","2,16",,Black,8.667,26,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg
Kingston FURY Beast RGB 16 GB,75.98,"5,6000","2,8",4.749,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/6fcbee8fe66fd26e7f295b32b7fcdcba.256p.jpg
Corsair Vengeance 32 GB,114.99,"5,6400","2,16",3.593,Black,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
Corsair Vengeance RGB 96 GB,349.99,"5,6000","2,48",3.646,Black / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/36e1c3599450e638cdc5330368ab1060.256p.jpg
Corsair Vengeance RGB 32 GB,194.99,"5,8000","2,16",6.093,Black / Gray,9.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance LPX 32 GB,160.99,"4,3600","2,16",5.031,Black / Yellow,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
Patriot Viper Xtreme 5 32 GB,134.99,"5,8200","2,16",4.218,Black,9.268,38,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,136.69,"4,3600","2,16",4.272,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
G.Skill Ripjaws V 16 GB,45.99,"4,3600","2,8",2.874,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/c75eee87606a7ee1b5f90816fc5a16ea.256p.jpg
G.Skill Trident Z Neo 32 GB,99.99,"4,3600","2,16",3.125,Black / Silver,8.889,16,https://cdna.pcpartpicker.com/static/forever/images/product/20348ef9eb7ca86600eefb50c6a56597.256p.jpg
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",1.875,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Patriot Viper Venom RGB 32 GB,90.99,"5,6000","2,16",2.843,Black / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/2934969ee0e47a37c6954bd3e4873340.256p.jpg
Kingston FURY Beast 128 GB,402.99,"5,5600","4,32",3.148,White,14.286,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance 48 GB,179.99,"5,6000","2,24",3.75,Black / Gray,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Kingston FURY Beast 16 GB,64.99,"5,5600","2,8",4.062,Black / Silver,12.857,36,https://cdna.pcpartpicker.com/static/forever/images/product/547d30a3ba49dc763a8c23b28f7ac74b.256p.jpg
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"5,6000","2,48",4.687,Silver,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/5b9e0d994655f13f9392b5c156af24f2.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",3.375,Black,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
G.Skill Ripjaws S5 96 GB,284.99,"5,6400","2,48",2.969,Black,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/aab63c7827eb789b3caff4daf23b0b4c.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,74.94,"4,3200","2,16",2.342,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
G.Skill Trident Z5 RGB 32 GB,95.98,"5,6000","2,16",2.999,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/5468241c2bc267e0ebc4ed037b0d02b6.256p.jpg
Silicon Power SP016GBLFU320B22 16 GB,39.97,"4,3200","2,8",2.498,,13.75,22,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",4.218,White,9.375,30,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg
G.Skill Ripjaws S5 32 GB,99.99,"5,5600","2,16",3.125,Black,10.0,28,https://m.media-amazon.com/images/I/41z7Yocy0HL.jpg
Corsair Vengeance LPX 64 GB,128.99,"4,3600","2,32",2.015,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/ef76582ad70db194abfb960a5e7d6add.256p.jpg
Patriot Viper Venom 32 GB,114.99,"5,7000","2,16",3.593,Black / White,9.143,32,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",3.375,White,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
G.Skill Aegis 32 GB,69.98,"4,3200","2,16",2.187,Red / Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/bf642d2af83428f1f3bf198fc2f04f77.256p.jpg
TEAMGROUP T-Create Expert 32 GB,89.99,"5,6400","2,16",2.812,Black,10.0,32,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Kingston FURY Beast RGB 64 GB,239.99,"5,6000","2,32",3.75,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg
G.Skill Trident Z5 Neo RGB 96 GB,,"5,6000","2,48",,Black,8.667,26,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
Lexar THOR OC 32 GB,104.99,"5,6000","2,16",3.281,Black / Gold,10.667,32,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,"5,6000","2,32",2.656,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance 64 GB,219.99,"5,6000","2,32",3.437,Black / Gray,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg
TEAMGROUP T-Create Expert 64 GB,176.99,"5,6000","2,32",2.765,Black,11.333,34,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",4.531,Black / Gray,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Kingston FURY Beast 128 GB,339.99,"5,5600","2,64",2.656,Black,12.857,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Patriot Viper Venom 16 GB,49.99,"5,6400","2,8",3.124,Black / Red,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/766c18ad6210bf330ebd5708e6d6081b.256p.jpg
Timetec PINNACLE Konduit 16 GB,31.99,"4,3200","2,8",1.999,White,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/35e8ef017a78a1e078ac41ce6d804b56.256p.jpg
G.Skill Trident Z5 RGB 64 GB,159.99,"5,6000","2,32",2.5,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",4.687,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/fdf09b4bc9f4b16d37c0920c50cc20d6.256p.jpg
Patriot Viper Venom 16 GB,48.99,"5,6000","1,16",3.062,Black / White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/766c18ad6210bf330ebd5708e6d6081b.256p.jpg
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,White,10.0,30,https://m.media-amazon.com/images/I/311vehRJz4L.jpg
Corsair Vengeance RGB 64 GB,244.99,"5,6400","2,32",3.828,Black / Gray,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
Kingston KHX8500D2K2/4GR 4 GB,,"2,1066","2,2",,Blue,9.381,5,https://images-eu.ssl-images-amazon.com/images/I/41VbZlqFD5L.jpg
Corsair Vengeance 64 GB,149.99,"5,5600","2,32",2.344,Black,14.286,40,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3600","2,16",,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/5adb8089a7ff5f322bc5dea023e93d31.256p.jpg
G.Skill Trident Z RGB 32 GB,105.53,"4,3200","2,16",3.298,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/67c83cfd051636aaa95e8b00b6e95d6e.256p.jpg
Kingston KCP424NS6/4 4 GB,9.99,"4,2400","1,4",2.498,Green / Black,14.167,17,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Trident Z5 Royal 48 GB,279.99,"5,8400","2,24",5.833,Silver,9.524,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance LPX 32 GB,85.88,"4,3600","2,16",2.684,Black / Yellow,8.889,16,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
G.Skill Trident Z5 RGB 48 GB,214.99,"5,8000","2,24",4.479,Black,10.0,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance 128 GB,540.99,"5,5600","4,32",4.226,Black,14.286,40,https://cdna.pcpartpicker.com/static/forever/images/product/430bd0c0e205970df01f262dcc3ed9fa.256p.jpg
Kingston HyperX Fury 8 GB,,"4,2666","1,8",,Black,12.003,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Kingston FURY Beast RGB 128 GB,399.99,"5,5200","4,32",3.125,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Flare X5 32 GB,104.99,"5,6000","2,16",3.281,Black,10.667,32,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
TEAMGROUP Elite 32 GB,78.98,"4,3200","2,16",2.468,Black,13.75,22,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",2.812,Black,12.667,38,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
ADATA XPG SPECTRIX D35G RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Crucial Pro 32 GB,94.99,"5,6400","2,16",2.968,White,11.875,38,https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.256p.jpg
G.Skill Trident Z RGB 64 GB,149.99,"4,3600","2,32",2.344,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/712c928dba9edee5be3380b33b612b50.256p.jpg
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.437,Gray,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg
Patriot Viper Venom 64 GB,159.99,"5,6000","2,32",2.5,Black / White,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/f872f449bc8dd16bdc142f80e9df1d88.256p.jpg
Corsair Vengeance RGB 32 GB,121.99,"5,6000","2,16",3.812,White,13.333,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Crucial CT51264BA160B 4 GB,10.29,"3,1600","1,4",2.572,Green,13.75,11,https://cdna.pcpartpicker.com/static/forever/images/product/04cd9a8fcf926bf11c9cebe0ab606779.256p.jpg
Corsair Vengeance LPX 16 GB,85.99,"4,3000","2,8",5.374,Black / Yellow,10.0,15,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg
Silicon Power XPOWER Turbine 32 GB,60.99,"4,3200","2,16",1.906,Blue,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Force Delta RGB 16 GB,77.99,"5,6000","2,8",4.874,White,12.667,38,https://cdna.pcpartpicker.com/static/forever/images/product/12d937d90590710d44e87577e35c530f.256p.jpg
Corsair Dominator Titanium 64 GB,319.99,"5,6000","2,32",5.0,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/fdf09b4bc9f4b16d37c0920c50cc20d6.256p.jpg
G.Skill Ripjaws S5 32 GB,109.99,"5,6400","2,16",3.437,Black,10.0,32,https://m.media-amazon.com/images/I/41z7Yocy0HL.jpg
G.Skill Flare X5 96 GB,184.99,"5,5200","2,48",1.927,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Klevv BOLT V 32 GB,93.99,"5,6000","2,16",2.937,Black,10.0,30,https://m.media-amazon.com/images/I/31TxqFj3gML.jpg
G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB 32 GB,117.99,"5,6400","2,16",3.687,Black / Gray,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance 32 GB,135.99,"5,6000","2,16",4.25,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
TEAMGROUP Vulcan Z 16 GB,42.99,"4,3600","2,8",2.687,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Silicon Power GAMING 16 GB,37.97,"4,3600","2,8",2.373,Gray / Silver,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg
TEAMGROUP T-Create Expert 96 GB,291.99,"5,6400","2,48",3.042,Black / Gold,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB Pro 32 GB,,"4,4266","4,8",,Black,8.908,19,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg
G.Skill Ripjaws S5 32 GB,84.99,"5,5200","2,16",2.656,Black,15.385,40,https://m.media-amazon.com/images/I/41z7Yocy0HL.jpg
Corsair Vengeance RGB 64 GB,184.99,"5,6000","2,32",2.89,Black,13.333,40,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
TEAMGROUP T-Create Expert 32 GB,110.99,"5,7200","2,16",3.468,Black,9.444,34,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Corsair Vengeance 96 GB,329.99,"5,6400","2,48",3.437,Black,10.0,32,https://m.media-amazon.com/images/I/310jEGnm7yL.jpg
Patriot Signature Line 16 GB,34.99,"5,4800","1,16",2.187,Black,16.667,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB 64 GB,277.99,"5,6400","2,32",4.344,White,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
Crucial CT2K64G56C46U5 128 GB,279.99,"5,5600","2,64",2.187,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/b42146c88ed343fce3e6f94ba345b483.256p.jpg
G.Skill Trident Z RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/d19422479fca6e5117bb55db3d25eac2.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6400","2,16",2.812,Black,12.5,40,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",2.578,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Kingston FURY Beast RGB 128 GB,349.99,"5,5600","2,64",2.734,Black,12.857,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22,
Patriot Viper Venom 16 GB,48.99,"5,6000","2,8",3.062,Black / Silver,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/766c18ad6210bf330ebd5708e6d6081b.256p.jpg
