name,price,type,color,psu,side_panel,external_volume,internal_35_bays,image
Lian Li LANCOOL 217,127.5,ATX Mid Tower,Black / Brown,,Tempered Glass,57.7,1,https://cdna.pcpartpicker.com/static/forever/images/product/610e12d560e4933d797d322e677d0066.256p.jpg
Lian Li O11 Dynamic EVO XL,254.98,ATX Full Tower,Black,,Tempered Glass,84.4,4,https://cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg
Montech KING 95 PRO,148.98,ATX Mid Tower,Black,,Tempered Glass,63.0,5,https://cdna.pcpartpicker.com/static/forever/images/product/6e645766ef331a1911f2c74016db9efa.256p.jpg
Fractal Design Meshify C,109.99,ATX Mid Tower,Black,,Tinted Tempered Glass,40.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/5e077c6b1272ca2c11e4f7df6326370a.256p.jpg
Cooler Master MasterBox NR200,67.29,Mini ITX Desktop,Black,,,20.3,2,https://cdna.pcpartpicker.com/static/forever/images/product/d31150b26d756cc5e2221e63f264e8d6.256p.jpg
Okinos Aqua 3,64.98,MicroATX Mini Tower,Black,,Tempered Glass,28.8,2,
Lian Li LANCOOL 216 RGB,102.97,ATX Mid Tower,Black,,Tempered Glass,55.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg
HYTE Y70,219.99,ATX Mid Tower,White,,Tempered Glass,70.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,,Tempered Glass,46.2,2,https://cdna.pcpartpicker.com/static/forever/images/product/1d7438dfe855e147c0e8b3f235453b2b.256p.jpg
NZXT H7 Flow (2024),129.99,ATX Mid Tower,Black,,Tempered Glass,62.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/1adad593d049169c8f3bb35a682a0fab.256p.jpg
MUSETEX Y6,85.48,ATX Mid Tower,White,,Tempered Glass,40.9,2,https://m.media-amazon.com/images/I/513aAkRAd0L.jpg
Corsair 3000D AIRFLOW,94.99,ATX Mid Tower,Black,,Tempered Glass,49.5,2,https://cdna.pcpartpicker.com/static/forever/images/product/586841ed9160739668a55d1321c9494e.256p.jpg
Lian Li O11 Vision,142.99,ATX Mid Tower,Black,,Tempered Glass,67.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
Fractal Design North,139.99,ATX Mid Tower,Black,,Mesh,45.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg
HYTE Y70,219.99,ATX Mid Tower,Black,,Tempered Glass,70.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,White,,Tempered Glass,65.3,4,https://cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg
Montech X3 Mesh,54.99,ATX Mid Tower,Black,,Tempered Glass,,2,https://cdna.pcpartpicker.com/static/forever/images/product/9e7790ee9397346b4c023cc04296fb5e.256p.jpg
Cooler Master Elite 301 Lite,64.94,MicroATX Mini Tower,Black,,Tempered Glass,34.1,1,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg
Fractal Design Terra,179.99,Mini ITX Desktop,Green / Brown,,Mesh,11.4,0,https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg
Corsair FRAME 4000D,104.99,ATX Mid Tower,Black,,Tempered Glass,56.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg
NZXT H6 Flow RGB,129.97,ATX Mid Tower,White,,Tempered Glass,51.8,1,https://cdna.pcpartpicker.com/static/forever/images/product/21f390a2caf255ac942d9f4d4899adee.256p.jpg
Asus Prime AP201,89.97,MicroATX Mini Tower,Black,,Mesh,33.0,3,https://cdna.pcpartpicker.com/static/forever/images/product/e40d8d2f2651fa6faca4e0a4552f8545.256p.jpg
Montech XR Wood,79.9,ATX Mid Tower,Black / Brown,,Tempered Glass,49.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/9a598fd3a5d247f76f4ba3f913d914db.256p.jpg
Deepcool CH160,,Mini ITX Desktop,Black,,Tempered Glass,19.1,1,https://cdna.pcpartpicker.com/static/forever/images/product/8fdb4c1dc378c0c163d5f29037da4dbe.256p.jpg
Montech X5M,56.0,MicroATX Mini Tower,Black,,Tempered Glass,45.3,2,https://cdna.pcpartpicker.com/static/forever/images/product/194bb19f86f9bc3969c42346a261f480.256p.jpg
Lian Li A3-mATX,89.99,MicroATX Mini Tower,White / Brown,,Tempered Glass,26.3,1,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
Antec C8,99.99,ATX Full Tower,Black,,Tempered Glass,66.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/881b5d3048a3e6c614c565698022feb6.256p.jpg
Thermaltake Versa H18,118.5,MicroATX Mini Tower,Black,,Acrylic,30.4,2,https://m.media-amazon.com/images/I/51nzmaDQ5-L.jpg
Silverstone ALTA F2,1062.27,ATX Full Tower,Black,,Tempered Glass,98.9,8,https://cdna.pcpartpicker.com/static/forever/images/product/4ff42fa090d41392739d099e28baf56f.256p.jpg
NZXT H6 Flow RGB,134.97,ATX Mid Tower,Black,,Tempered Glass,51.8,1,https://cdna.pcpartpicker.com/static/forever/images/product/21f390a2caf255ac942d9f4d4899adee.256p.jpg
Corsair 5000D AIRFLOW,174.99,ATX Mid Tower,Black,,Tempered Glass,66.2,2,https://cdna.pcpartpicker.com/static/forever/images/product/5bdc5f23827be3a0b7b72fa424fd437e.256p.jpg
Fractal Design Ridge PCIe 4.0,129.99,Mini ITX Tower,Black,,Mesh,16.3,0,https://m.media-amazon.com/images/I/31bjjZkjSOL.jpg
Corsair 3500X,99.99,ATX Mid Tower,Black,,Tempered Glass,55.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/f488ef9e12f2c763481fa0a720647dfd.256p.jpg
NZXT H9 Elite,169.97,ATX Mid Tower,White,,Tempered Glass,66.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/b1bef448b0e5397e703971eef3a08e40.256p.jpg
Zalman T3 PLUS,39.5,MicroATX Mid Tower,Black,,Tempered Glass,30.9,1,https://cdna.pcpartpicker.com/static/forever/images/product/e55cd4d5e340ed49b1f0ac2f16bde6d0.256p.jpg
Antec FLUX PRO,164.99,ATX Full Tower,Black / Brown,,Tempered Glass,70.8,4,https://cdna.pcpartpicker.com/static/forever/images/product/b76da1b61903db1a3a2ae31295d52f6f.256p.jpg
Cooler Master Elite 301,49.99,MicroATX Mid Tower,Black,,Tempered Glass,34.1,1,https://cdna.pcpartpicker.com/static/forever/images/product/6da0c8f15d8814831485635c9676d23a.256p.jpg
Lian Li O11 Dynamic EVO XL,249.99,ATX Full Tower,White,,Tempered Glass,84.4,4,https://cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg
Jonsbo Jonsplus Z20,99.0,MicroATX Desktop,Black,,Tempered Glass,25.3,1,https://cdna.pcpartpicker.com/static/forever/images/product/a4ddc6df555e1d01e63b5442f21946d7.256p.jpg
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,Black,,Tempered Glass,36.5,2,https://cdna.pcpartpicker.com/static/forever/images/product/6bd2cbaf780aea720a3b8a53d80ce635.256p.jpg
Azza Fighter,59.99,ATX Mid Tower,Black,,Tempered Glass,34.2,2,
Fractal Design North XL,194.97,ATX Full Tower,Black,,Mesh,61.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg
Corsair 4000D Airflow,103.59,ATX Mid Tower,White,,Tinted Tempered Glass,48.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg
