name,price,chipset,memory,core_clock,boost_clock,color,length,image
PowerColor Reaper,669.99,Radeon RX 9070,16,2070,2520.0,Black,289,https://cdna.pcpartpicker.com/static/forever/images/product/f534d935371e62d5ae8e46e9f05f300d.256p.jpg
Asus TUF GAMING OC,1798.99,GeForce RTX 4080 SUPER,16,2210,2640.0,Black,348,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
Asus ROG STRIX GAMING OC,,GeForce RTX 5070 Ti,16,2300,2625.0,Black / Silver,332,https://cdna.pcpartpicker.com/static/forever/images/product/b17fcb9e900098a2cc46c5fe2c2411a6.256p.jpg
Asus ROG STRIX GAMING OC,3185.0,GeForce RTX 4090,24,2235,2640.0,Black,358,https://cdna.pcpartpicker.com/static/forever/images/product/b17fcb9e900098a2cc46c5fe2c2411a6.256p.jpg
NVIDIA Founders Edition,949.99,GeForce RTX 3080 Ti,12,1370,1670.0,Silver / Black,285,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
MSI VENTUS 2X OC,319.99,GeForce RTX 5060,8,2280,2535.0,Silver / Black,197,https://cdna.pcpartpicker.com/static/forever/images/product/f86c8c5780481bd5cfd54e7251ce354e.256p.jpg
Gigabyte WINDFORCE OC SFF,1399.99,GeForce RTX 5080,16,2300,,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
PNY OC,1349.99,GeForce RTX 5080,16,2300,2730.0,Black,329,
Gigabyte WINDFORCE OC,2639.99,GeForce RTX 5090,32,2010,2467.0,Black,342,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Sapphire PULSE,429.0,Radeon RX 6700 XT,12,2321,2581.0,Black,260,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
NVIDIA Founders Edition,,GeForce RTX 3070,8,1500,1730.0,Black,242,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
NVIDIA Founders Edition,899.0,GeForce RTX 4070,12,1920,2480.0,Black / Silver,244,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
Sapphire PULSE,337.33,Radeon RX 7600,8,1720,2755.0,Black / Red,240,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
Sapphire NITRO+,,Radeon RX 7900 XTX,24,2300,2680.0,Silver / Black,320,https://cdna.pcpartpicker.com/static/forever/images/product/1add1f9857eec8cf98c8963331dfe4b6.256p.jpg
MSI VENTUS 2X OC,629.99,GeForce RTX 5070,12,2160,2557.0,White,236,https://cdna.pcpartpicker.com/static/forever/images/product/f86c8c5780481bd5cfd54e7251ce354e.256p.jpg
Sparkle TITAN OC,319.99,Arc B580,12,2670,2740.0,Blue / White,317,https://cdna.pcpartpicker.com/static/forever/images/product/7ce4d8ac0fe7a6ff0bb47f264dcceae3.256p.jpg
Zotac GAMING SOLID OC,609.99,GeForce RTX 5070,12,2160,2542.0,Black / Copper,304,https://cdna.pcpartpicker.com/static/forever/images/product/c283c385446877c42e19d96630810fbf.256p.jpg
Gigabyte AERO OC,649.0,GeForce RTX 5060 Ti,16,2410,2647.0,White / Silver,281,https://cdna.pcpartpicker.com/static/forever/images/product/87996fa1877095ab8f6db8fb7b6adf34.256p.jpg
Asus DUAL OC,299.99,GeForce RTX 5060,8,2280,2565.0,Black,228,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg
Gigabyte EAGLE OC,599.0,GeForce RTX 5060 Ti,16,2410,2617.0,White / Silver,215,https://cdna.pcpartpicker.com/static/forever/images/product/a3192df075922ee3bd6fe1e04301b624.256p.jpg
Asus DUAL EVO OC,775.87,GeForce RTX 4060 Ti,16,2310,2625.0,Black,227,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg
Sparkle GUARDIAN OC,259.99,Arc B570,10,2500,2660.0,Blue / White,242,https://cdna.pcpartpicker.com/static/forever/images/product/202a483fa844f57205559d09fde92b21.256p.jpg
Zotac GAMING SOLID OC,2599.98,GeForce RTX 5090,32,2010,2422.0,Black / Copper,330,https://cdna.pcpartpicker.com/static/forever/images/product/c283c385446877c42e19d96630810fbf.256p.jpg
Asus DUAL OC,699.0,Radeon RX 7800 XT,16,1295,2520.0,Black,280,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg
Asus PRIME,1264.99,GeForce RTX 5080,16,2300,,Black / White,306,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
NVIDIA Founders Edition,1849.99,GeForce RTX 4080,16,2210,2510.0,Black / Silver,304,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
AMD Radeon RX 6950 XT,,Radeon RX 6950 XT,16,1890,2310.0,Black,267,https://cdna.pcpartpicker.com/static/forever/images/product/8a44fd1a6f66aa2f153e73efadf3ef47.256p.jpg
Sapphire PULSE,762.12,Radeon RX 7800 XT,16,1295,,Black / Red,280,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
Sapphire NITRO+,649.99,Radeon RX 9070,16,2210,2700.0,Black,331,https://cdna.pcpartpicker.com/static/forever/images/product/1add1f9857eec8cf98c8963331dfe4b6.256p.jpg
Zotac GAMING SOLID,3495.23,GeForce RTX 5090,32,2010,2407.0,Black / Copper,330,https://cdna.pcpartpicker.com/static/forever/images/product/b794ec23749baeba22de8c89b40db9d3.256p.jpg
XFX Swift OC,319.99,Radeon RX 9060 XT,8,2220,3320.0,White,270,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
EVGA KO ULTRA GAMING,320.0,GeForce RTX 2060,6,1365,1755.0,Black,202,https://cdna.pcpartpicker.com/static/forever/images/product/932e869ee03855291c9d97907dd1832d.256p.jpg
Gigabyte AORUS MASTER,1629.99,GeForce RTX 5080,16,2300,,Black,360,https://cdna.pcpartpicker.com/static/forever/images/product/3b48514507cb494a63445b44ad4592ec.256p.jpg
XFX Mercury OC RGB,869.98,Radeon RX 9070 XT,16,1870,3100.0,Black,360,https://cdna.pcpartpicker.com/static/forever/images/product/65b2abf683f0bb8024a83e0038429b5b.256p.jpg
XFX Swift OC,299.99,Radeon RX 9060 XT,8,2220,3320.0,Black,270,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
Gainward Phoenix-S,,GeForce RTX 5070 Ti,16,2300,2452.0,Black,332,https://cdna.pcpartpicker.com/static/forever/images/product/e9788a25886c5427edbd84c75b8d360f.256p.jpg
XFX Speedster SWFT 210 Core,331.42,Radeon RX 6650 XT,8,2055,2635.0,Black / Silver,241,https://m.media-amazon.com/images/I/41qsQY8oXcL.jpg
PNY ARGB EPIC-X RGB OC,1256.39,GeForce RTX 5070 Ti,16,2295,2640.0,Black,300,https://cdna.pcpartpicker.com/static/forever/images/product/a80c21ceedea8021d7b2efdade387f44.256p.jpg
Zotac GAMING SOLO,299.99,GeForce RTX 5060,8,2280,2497.0,Black,164,https://cdna.pcpartpicker.com/static/forever/images/product/defa0eeccdf3b98655091f99e4b98ce4.256p.jpg
Asus PRIME,612.98,Radeon RX 9070 XT,16,2460,2990.0,Black,312,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
Intel Limited Edition,249.0,Arc A750,8,2050,,Black,250,https://cdna.pcpartpicker.com/static/forever/images/product/4d6582f8f760f3da54b0dc4f85a816d4.256p.jpg
MSI GAMING TRIO OC,549.99,GeForce RTX 5060 Ti,16,2410,2662.0,Black,300,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
PNY VCQGV100-PB,,Quadro GV100,32,1200,1447.0,Black / Gold,267,https://cdna.pcpartpicker.com/static/forever/images/product/0f3e8c7fec641072601f855e0e3f8cf2.256p.jpg
NVIDIA Founders Edition,,GeForce RTX 3080 10GB,10,1440,1710.0,Black,285,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
XFX Speedster SWFT 210 Core,289.99,Radeon RX 7600,8,1875,2655.0,Black,241,https://m.media-amazon.com/images/I/41qsQY8oXcL.jpg
Zotac GAMING AMP Extreme INFINITY,1460.14,GeForce RTX 5080,16,2300,2670.0,Black / Copper,332,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Gigabyte GAMING OC,572.12,GeForce RTX 3070,8,1500,1815.0,Black / Silver,286,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Gigabyte OC Low Profile,339.99,GeForce RTX 5060,8,2280,,Black,182,https://cdna.pcpartpicker.com/static/forever/images/product/5c3e19e3f7bb2f00d5eac831e50d953f.256p.jpg
MSI VENTUS 3X OC,1409.99,GeForce RTX 5080,16,2300,2655.0,White,303,https://cdna.pcpartpicker.com/static/forever/images/product/39f468764f322157ce781ad2c4fa803b.256p.jpg
PowerColor Hellhound Spectral,839.99,Radeon RX 9070 XT,16,2400,3010.0,White,327,https://cdna.pcpartpicker.com/static/forever/images/product/f534d935371e62d5ae8e46e9f05f300d.256p.jpg
Asus PRIME OC,529.99,GeForce RTX 5060 Ti,16,2410,2647.0,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
MSI VENTUS 2X OC,629.99,GeForce RTX 5070,12,2160,2557.0,Silver / Black,236,https://cdna.pcpartpicker.com/static/forever/images/product/f86c8c5780481bd5cfd54e7251ce354e.256p.jpg
Asus ROG Astral OC,,GeForce RTX 5090,32,2010,2610.0,White,358,https://cdna.pcpartpicker.com/static/forever/images/product/0161407080353d18971dcccd15dc3722.256p.jpg
PNY EPIC-X RGB OC,2799.99,GeForce RTX 5090,32,2010,2625.0,Black,329,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Gigabyte EAGLE,535.0,Radeon RX 6600,8,1626,2491.0,Black / Silver,282,https://cdna.pcpartpicker.com/static/forever/images/product/a3192df075922ee3bd6fe1e04301b624.256p.jpg
MSI VENTUS 2X BLACK OC,479.99,GeForce RTX 4060 Ti,16,2310,2625.0,Black,199,https://cdna.pcpartpicker.com/static/forever/images/product/c89cc9ea2051206aebd4189ddf05f76b.256p.jpg
Asus TUF GAMING OC,267.3,GeForce GTX 1660 SUPER,6,1530,1845.0,Black,206,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
Gigabyte WINDFORCE V2,1548.99,GeForce RTX 4080 SUPER,16,2210,2550.0,Black,330,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
MSI VENTUS 2X OC,933.74,GeForce RTX 4070 SUPER,12,1980,2520.0,Black,242,https://cdna.pcpartpicker.com/static/forever/images/product/f86c8c5780481bd5cfd54e7251ce354e.256p.jpg
MSI SUPRIM SOC,3199.99,GeForce RTX 5090,32,2010,,Black / Silver,359,https://cdna.pcpartpicker.com/static/forever/images/product/2795d47cf28435579c736f8422232f4e.256p.jpg
NVIDIA Founders Edition,,GeForce RTX 4070 SUPER,12,1980,2480.0,Black / Silver,244,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
ASRock Challenger OC,279.97,Radeon RX 7600,8,1720,2695.0,Black,269,https://cdna.pcpartpicker.com/static/forever/images/product/67f500a12c85e2179f6cbad6cc4838cb.256p.jpg
Zotac GAMING AMP Extreme INFINITY,899.99,GeForce RTX 5070 Ti,16,2300,2512.0,Black,332,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Asus TUF GAMING OC,1099.99,GeForce RTX 4070 Ti,12,2310,2760.0,Black,305,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
Gigabyte WINDFORCE OC Rev 2.0,324.97,GeForce RTX 3060 12GB,12,1320,1792.0,Black,198,https://m.media-amazon.com/images/I/41iMJH0EHKL.jpg
Gigabyte WINDFORCE,379.99,GeForce RTX 5060 Ti,8,2410,2572.0,Black,208,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
NVIDIA Founders Edition,,GeForce GTX 1080 Ti,11,1480,1582.0,Black / Silver,267,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
XFX Speedster SWFT 210 Core,649.0,Radeon RX 7800 XT,16,1295,2430.0,Black,283,https://m.media-amazon.com/images/I/41qsQY8oXcL.jpg
EVGA FTW3 ULTRA GAMING,765.0,GeForce RTX 3070 Ti,8,1575,1860.0,Black,300,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg
PowerColor Hellhound,1174.08,Radeon RX 7900 XTX,24,2300,2525.0,Black,320,https://cdna.pcpartpicker.com/static/forever/images/product/7b81884d452c572f52509f613a1d328f.256p.jpg
EVGA FTW3 ULTRA GAMING,1518.99,GeForce RTX 3090,24,1395,1800.0,Black,300,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg
XFX Quicksilver,799.99,Radeon RX 9070 XT,16,1660,2970.0,White,360,https://cdna.pcpartpicker.com/static/forever/images/product/ebf432c454d8993028e4b9dfdbe3f319.256p.jpg
ASRock Challenger OC,269.98,Arc B580,12,2670,2740.0,Black,249,https://cdna.pcpartpicker.com/static/forever/images/product/67f500a12c85e2179f6cbad6cc4838cb.256p.jpg
Asus TUF GAMING OC,599.99,GeForce RTX 5060 Ti,16,2410,2692.0,Black / Silver,302,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
MSI VANGUARD SOC,859.99,GeForce RTX 5070 Ti,16,2300,2602.0,Black / Silver,357,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
Sapphire PULSE,468.0,Radeon RX 7600 XT,16,1720,2810.0,Black / Red,250,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
XFX Mercury OC RGB,839.99,Radeon RX 9070 XT,16,1870,3100.0,White,360,https://cdna.pcpartpicker.com/static/forever/images/product/65b2abf683f0bb8024a83e0038429b5b.256p.jpg
Asus DUAL OC,399.99,GeForce RTX 4060,8,1830,2535.0,White,227,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg
MSI VANGUARD SOC,649.99,GeForce RTX 5070,12,2160,,Black,337,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
Gigabyte GAMING OC,619.99,GeForce RTX 5070,12,2160,2625.0,Black,327,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Sapphire 21323-01-20G,,Radeon RX 7900 XT,20,2000,2400.0,Black,276,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
Zotac Twin Edge,642.11,GeForce RTX 5060 Ti,16,2410,2572.0,Black,220,https://cdna.pcpartpicker.com/static/forever/images/product/cd249f96382c3c81f82b829154af3c8e.256p.jpg
Asus DUAL EVO OC,949.97,GeForce RTX 4070,12,1920,2550.0,Black,227,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg
Asus ROG STRIX GAMING OC,3539.99,GeForce RTX 4090,24,2235,2640.0,White,358,https://cdna.pcpartpicker.com/static/forever/images/product/b17fcb9e900098a2cc46c5fe2c2411a6.256p.jpg
MSI INSPIRE 3X OC PLUS,1010.0,GeForce RTX 5070 Ti,16,2300,2497.0,Gold / Black,288,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
ASRock Intel Arc A380 Challenger ITX,139.99,Arc A380,6,2250,,Black,190,https://cdna.pcpartpicker.com/static/forever/images/product/c887172d5b7e8f6241c60d0c42cf358d.256p.jpg
XFX Swift OC,399.99,Radeon RX 9060 XT,16,2220,3320.0,Black,290,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
ONIX LUMI OC,285.98,Arc B580,12,2670,2740.0,White / Silver,260,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
XFX RX-79GMERCB9,669.99,Radeon RX 7900 GRE,16,1270,2395.0,Black,335,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
Asus TUF GAMING OC,2940.55,GeForce RTX 5090,32,2010,,Black / Silver,348,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
MSI GeForce RTX 3080 VENTUS 3X 10G OC,879.99,GeForce RTX 3080 10GB,10,1440,,Black,305,https://cdna.pcpartpicker.com/static/forever/images/product/3c166cd7b1f49475c3b8295799a11af5.256p.jpg
MSI GT 710 2GD3H LP,71.62,GeForce GT 710,2,954,954.0,Black,146,https://cdna.pcpartpicker.com/static/forever/images/product/a01ec3b624bf22abe8f1831194c4d226.256p.jpg
Gigabyte GAMING OC,595.0,Radeon RX 5700 XT,8,1650,1905.0,Black,280,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Asus TUF GAMING OC,1009.99,GeForce RTX 5070 Ti,16,2300,2610.0,White / Silver,329,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
Palit GamingPro,,GeForce RTX 5070 Ti,16,2300,2452.0,Black,332,https://cdna.pcpartpicker.com/static/forever/images/product/e9788a25886c5427edbd84c75b8d360f.256p.jpg
MSI GeForce RTX 2070 SUPER VENTUS GP OC,689.0,GeForce RTX 2070 SUPER,8,1605,1785.0,Silver / Black,258,https://m.media-amazon.com/images/I/412KNEKm-mL.jpg
XFX Swift OC,719.99,Radeon RX 9070,16,1440,2700.0,White,325,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
MSI GTX 1050 Ti 4GT OC,263.99,GeForce GTX 1050 Ti,4,1341,1455.0,Black / White,215,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
MSI VENTUS 3X OC,1299.99,GeForce RTX 5080,16,2300,2655.0,Silver / Black,303,https://cdna.pcpartpicker.com/static/forever/images/product/39f468764f322157ce781ad2c4fa803b.256p.jpg
Sapphire PURE,540.66,Radeon RX 9060 XT,16,2220,3290.0,Black,240,https://cdna.pcpartpicker.com/static/forever/images/product/2c06f017723d991b814947ff0c9bd519.256p.jpg
Gigabyte EAGLE OC ICE SFF,1149.0,GeForce RTX 5070 Ti,16,2541,,White / Silver,304,https://cdna.pcpartpicker.com/static/forever/images/product/f909fab47cb20bea4096f4b62f3d3ccf.256p.jpg
MSI GeForce RTX 3070 VENTUS 3X OC,534.19,GeForce RTX 3070,8,1500,1755.0,Black / Silver,305,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
MSI GeForce GTX 1650 SUPER,419.0,GeForce GTX 1650 SUPER,4,1530,1740.0,Black / Silver,180,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
Sapphire PURE,896.64,Radeon RX 9070,16,2210,2700.0,White,320,https://cdna.pcpartpicker.com/static/forever/images/product/2c06f017723d991b814947ff0c9bd519.256p.jpg
NVIDIA Founders Edition,,GeForce RTX 4080 SUPER,16,2210,2550.0,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
Asus TUF GAMING OC,479.99,Radeon RX 9060 XT,16,2220,,Black / Silver,304,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
MSI GAMING X,575.0,GeForce RTX 2060 SUPER,8,1470,1695.0,Black / Silver,248,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
