name,price,chipset,memory,core_clock,boost_clock,color,length,image
PowerColor RX7800XT 16G-P,599.99,Radeon RX 7800 XT,16,1295,2430.0,Black,260,https://m.media-amazon.com/images/I/31qVw5Tk98L.jpg
Asus TUF GAMING OC,999.0,GeForce RTX 5070 Ti,16,2300,2610.0,Black / Silver,329,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
XFX Swift,779.99,Radeon RX 9070 XT,16,1660,2970.0,Black,325,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
ASRock Phantom Gaming OC,899.99,Radeon RX 7900 XTX,24,2300,2615.0,Black,330,https://cdna.pcpartpicker.com/static/forever/images/product/d3d588536b23037ec14a155a67de9e4a.256p.jpg
XFX GTS XXX,159.99,Radeon RX 580,8,1366,1386.0,Black / Red,270,https://cdna.pcpartpicker.com/static/forever/images/product/7a8d66854d65f497aca573e84772d861.256p.jpg
PNY VCNRTX6000ADA-PB,6974.0,RTX 6000 Ada Generation,48,915,2505.0,Black / Gold,267,https://cdna.pcpartpicker.com/static/forever/images/product/6ef5b8f1b94982c71019a0d9ac2795e2.256p.jpg
Gigabyte WINDFORCE OC,845.93,GeForce RTX 4070 SUPER,12,1980,2505.0,Black,261,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Zotac GAMING Twin Edge,256.98,GeForce RTX 3060 12GB,12,1320,1777.0,Black,224,https://cdna.pcpartpicker.com/static/forever/images/product/307bb60c041130ea5d65a3b97e63648a.256p.jpg
Asus ROG Astral OC,1799.99,GeForce RTX 5080,16,2300,,Black / Silver,358,https://cdna.pcpartpicker.com/static/forever/images/product/0161407080353d18971dcccd15dc3722.256p.jpg
NVIDIA Founders Edition,549.99,GeForce RTX 5070,12,2160,2510.0,Black / Gray,242,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
Asus DUAL OC,479.99,GeForce RTX 5060 Ti,16,2410,2632.0,Black / Silver,229,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg
Sapphire PURE,991.27,Radeon RX 9070 XT,16,2460,3010.0,White,320,https://cdna.pcpartpicker.com/static/forever/images/product/2c06f017723d991b814947ff0c9bd519.256p.jpg
Asus PRIME,829.99,GeForce RTX 5070 Ti,16,2300,2482.0,Black / White,306,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
Asus PRIME OC,1399.99,GeForce RTX 5080,16,2300,,Black / White,306,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
NVIDIA Founders Edition,489.09,GeForce RTX 3060 Ti,8,1410,1670.0,Black / Silver,242,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
Asus TUF GAMING OC,1117.99,GeForce RTX 4070 Ti SUPER,16,2340,2670.0,Black,305,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
Gigabyte WINDFORCE,501.01,GeForce RTX 5060 Ti,16,2410,2572.0,Black,208,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Gigabyte AERO OC,979.99,GeForce RTX 5070 Ti,16,2588,,White / Silver,340,https://cdna.pcpartpicker.com/static/forever/images/product/87996fa1877095ab8f6db8fb7b6adf34.256p.jpg
NVIDIA Founders Edition,,GeForce RTX 5080,16,2300,2620.0,Black / Gray,304,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
Gigabyte GAMING OC,1525.0,GeForce RTX 5080,16,2300,,Black,340,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
XFX Swift OC,359.99,Radeon RX 9060 XT,16,2220,3320.0,Black,270,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
Gigabyte WINDFORCE SFF,604.99,GeForce RTX 5070,12,2160,2512.0,Black,282,https://cdna.pcpartpicker.com/static/forever/images/product/e7c2e56f9ec5d4486076d654d8237afe.256p.jpg
XFX Speedster MERC 310 Black Edition,1049.99,Radeon RX 7900 XTX,24,2300,2615.0,Black / Silver,344,https://cdna.pcpartpicker.com/static/forever/images/product/4b6e1666bdde2d084cb87b98ba5d8b30.256p.jpg
